物件名,住所,間取り,家賃,階数,最寄りまでの時間
東京メトロ東西線 木場駅 6階建 築1年,東京都江東区東陽３,2DK,15.2万円,"築1年
6階建",東京メトロ東西線/木場駅 歩5分
東武伊勢崎線 西新井駅 3階建 築12年,東京都足立区西新井栄町１,2DK,13.6万円,"築12年
3階建",東武伊勢崎線/西新井駅 歩5分
ＪＲ中央線 信濃町駅 地下2地上5階建 築5年,東京都新宿区南元町,2K,18万円,"築5年
地下2地上5階建",ＪＲ中央線/信濃町駅 歩6分
ＥＤＩＴ市谷柳町,東京都新宿区市谷柳町,2K,11.2万円,"新築
5階建",都営大江戸線/牛込柳町駅 歩1分
三ノ輪 新築戸建,東京都荒川区南千住１,2LDK,16.9万円,"新築
3階建",東京メトロ日比谷線/三ノ輪駅 歩7分
東京メトロ丸ノ内線 新大塚駅 4階建 新築,東京都文京区大塚５,2DK,18.8万円,"新築
4階建",東京メトロ丸ノ内線/新大塚駅 歩5分
東武伊勢崎線 東向島駅 5階建 築2年,東京都墨田区東向島６,2DK,15.9万円,"築2年
5階建",東武伊勢崎線/東向島駅 歩4分
グランカーサ曳舟,東京都墨田区八広２,2DK,16.1万円,"築3年
9階建",京成押上線/京成曳舟駅 歩9分
ウィステリア羽根木,東京都世田谷区羽根木１,2K,13.7万円,"築4年
2階建",京王井の頭線/東松原駅 歩4分
京王井の頭線 東松原駅 2階建 築4年,東京都世田谷区羽根木１,2K,13.7万円,"築4年
2階建",京王井の頭線/東松原駅 歩4分
東武伊勢崎線 とうきょうスカイツリー駅 7階建 築1年,東京都墨田区向島３,2DK,16.9万円,"築1年
7階建",東武伊勢崎線/とうきょうスカイツリー駅 歩4分
セジョリ押上,東京都墨田区向島３,2DK,16.9万円,"築1年
7階建",東武伊勢崎線/とうきょうスカイツリー駅 歩4分
東急田園都市線 駒沢大学駅 地下1地上3階建 新築,東京都世田谷区駒沢３,2K,12.5万円,"新築
地下1地上3階建",東急田園都市線/駒沢大学駅 歩10分
Ｈｅａｌｉｎｇ　Ｇａｔｅ　押上,東京都墨田区業平４,2DK,17.2万円,"築3年
7階建",東京メトロ半蔵門線/押上駅 歩4分
瑞江戸建,東京都江戸川区瑞江４,2DK,12万円,"築10年
2階建",都営新宿線/瑞江駅 歩7分
ＪＲ山手線 駒込駅 9階建 築4年,東京都豊島区駒込１,2DK,15.8万円,"築4年
9階建",ＪＲ山手線/駒込駅 歩2分
江戸川区瑞江４丁目住宅（０１３１０９）,東京都江戸川区瑞江４,2DK,12万円,"築10年
2階建",都営新宿線/瑞江駅 歩7分
ビバーナムコート,東京都練馬区早宮３,2DK,12.7万円,"築9年
2階建",都営大江戸線/豊島園駅 歩7分
西武新宿線 上石神井駅 3階建 新築,東京都練馬区上石神井１,2DK,11.7万円,"新築
3階建",西武新宿線/上石神井駅 歩6分
ラフィネ上石神井A,東京都練馬区上石神井１,2DK,11.7万円,"新築
3階建",西武新宿線/上石神井駅 歩6分
ランツォ町屋,東京都荒川区荒川５,2LDK,13.9万円,"築4年
3階建",東京メトロ千代田線/町屋駅 歩3分
京成本線 京成高砂駅 6階建 築11年,東京都葛飾区柴又１,2LDK,16万円,"築11年
6階建",京成本線/京成高砂駅 歩6分
新築：プラウノト(9月完成予定),東京都荒川区荒川２,2LDK,18.6万円,"新築
4階建",東京メトロ千代田線/町屋駅 歩6分
ＪＲ常磐線 南千住駅 13階建 築3年,東京都荒川区南千住７,2LDK,18万円,"築3年
13階建",ＪＲ常磐線/南千住駅 歩2分
西武池袋線 練馬駅 2階建 築11年,東京都練馬区桜台１,2DK,10.7万円,"築11年
2階建",西武池袋線/練馬駅 歩14分
グランカーサ日暮里,東京都荒川区東日暮里６,2LDK,19.7万円,"新築
9階建",ＪＲ山手線/日暮里駅 歩7分
エクアス小石川林町,東京都文京区千石２,2DK,16万円,"築14年
地下1地上5階建",都営三田線/千石駅 歩8分
BHテラス東中野,東京都中野区中野１,2DK,15万円,"築8年
3階建",ＪＲ中央線/東中野駅 歩10分
Noir南千住,東京都荒川区南千住１,2LDK,19.6万円,"築2年
3階建",東京メトロ日比谷線/三ノ輪駅 歩6分
S-RESIDENCE東日暮里,東京都荒川区東日暮里４,2LDK,18.5万円,"築3年
10階建",ＪＲ山手線/鶯谷駅 歩6分
プラチナフォルム駒込,東京都豊島区駒込１,2DK,17.8万円,"築3年
地下1地上5階建",ＪＲ山手線/駒込駅 歩5分
京島3丁目貸家,東京都墨田区京島３,2LDK,12.8万円,"築7年
2階建",京成押上線/京成曳舟駅 歩7分
ブリリアイスト駒込,東京都北区西ケ原１,2DK,16.5万円,"築4年
12階建",ＪＲ山手線/駒込駅 歩5分
ＪＲ山手線 駒込駅 12階建 築4年,東京都北区西ケ原１,2DK,16.5万円,"築4年
12階建",ＪＲ山手線/駒込駅 歩5分
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,2DK,18.3万円,"新築
6階建",東急目黒線/武蔵小山駅 歩5分
Ｂｒｉｌｌｉａ　ｉｓｔ　文京茗荷谷,東京都文京区小日向４,2DK,18.4万円,"築5年
地下1地上6階建",東京メトロ丸ノ内線/茗荷谷駅 歩5分
京成押上線 京成曳舟駅 9階建 築2年,東京都墨田区八広３,2DK,14.5万円,"築2年
9階建",京成押上線/京成曳舟駅 歩5分
Sin prisa,東京都中野区本町５,2DK,15.5万円,"新築
4階建",東京メトロ丸ノ内線/中野富士見町駅 歩2分
プロスタイルウェルス押上ノースアイル,東京都墨田区八広３,2DK,14.5万円,"築2年
9階建",京成押上線/京成曳舟駅 歩5分
ＪＲ高崎線 尾久駅 3階建 新築,東京都荒川区西尾久８,2LDK,11.7万円,"新築
3階建",ＪＲ高崎線/尾久駅 歩9分
ル・シエル,東京都荒川区西尾久８,2LDK,11.7万円,"新築
3階建",ＪＲ高崎線/尾久駅 歩9分
ＪＲ高崎線 尾久駅 3階建 新築,東京都荒川区西尾久８,2LDK,11.7万円,"新築
3階建",ＪＲ高崎線/尾久駅 歩9分
ル・シエル,東京都荒川区西尾久８,2LDK,11.7万円,"新築
3階建",ＪＲ高崎線/尾久駅 歩9分
西武新宿線 下井草駅 3階建 築6年,東京都中野区白鷺３,2DK,11.95万円,"築6年
3階建",西武新宿線/下井草駅 歩9分
ソルナクレイシア中野白鷺,東京都中野区白鷺３,2DK,11.95万円,"築6年
3階建",西武新宿線/下井草駅 歩9分
ゼロハウス,東京都杉並区下高井戸２,2DK,12.5万円,"築9年
4階建",京王線/下高井戸駅 歩6分
ＪＲ山手線 駒込駅 5階建 築3年,東京都豊島区駒込１,2LDK,17.8万円,"築3年
5階建",ＪＲ山手線/駒込駅 歩4分
東京メトロ千代田線 町屋駅 14階建 築15年,東京都荒川区町屋６,2LDK,17.5万円,"築15年
14階建",東京メトロ千代田線/町屋駅 歩11分
東京メトロ日比谷線 三ノ輪駅 12階建 築10年,東京都台東区三ノ輪１,2LDK,16.5万円,"築10年
12階建",東京メトロ日比谷線/三ノ輪駅 歩5分
ティモーネ押上,東京都墨田区文花２,2DK,12.7万円,"築8年
9階建",東武亀戸線/小村井駅 歩3分
マリスタ大山,東京都板橋区大山東町,2DK,16.7万円,"新築
6階建",東武東上線/大山駅 歩6分
インセンス上野根岸,東京都台東区根岸３,2LDK,19.6万円,"築4年
地下9地上10階建",ＪＲ山手線/日暮里駅 歩11分
ＴＪ・Ｋｏｍａｇｏｍｅ．ＢＬＤ,東京都豊島区駒込１,2DK,15.8万円,"築4年
9階建",ＪＲ山手線/駒込駅 歩2分
都営三田線 板橋本町駅 地下1地上3階建 新築,東京都板橋区清水町,2SDK,19.1万円,"新築
地下1地上3階建",都営三田線/板橋本町駅 歩5分
リーフガーデン 東日暮里,東京都荒川区東日暮里１,2LDK,17.8万円,"築2年
9階建",東京メトロ日比谷線/三ノ輪駅 歩3分
ライオンズ東京三ノ輪ミレス,東京都台東区日本堤２,2LDK,16.5万円,"築6年
12階建",東京メトロ日比谷線/三ノ輪駅 歩6分
Villa Del Sol II,東京都荒川区荒川３,2LDK,15万円,"築11年
3階建",ＪＲ常磐線/三河島駅 歩8分
コンフォルト北新宿,東京都新宿区北新宿３,2DK,9.8万円,"築8年
3階建",ＪＲ中央線/東中野駅 歩6分
東武伊勢崎線 鐘ヶ淵駅 7階建 築1年,東京都墨田区墨田３,2LDK,14.4万円,"築1年
7階建",東武伊勢崎線/鐘ヶ淵駅 歩7分
リンデンハイツII,東京都葛飾区金町５,2LDK,14.5万円,"築11年
2階建",ＪＲ常磐線/金町駅 歩5分
扇3丁目戸建て,東京都足立区扇３,2SLDK,13万円,"築2年
3階建",日暮里・舎人ライナー/高野駅 歩8分
カーサ　フェリーチェ柴又,東京都葛飾区柴又１,2LDK,16万円,"築11年
6階建",京成金町線/柴又駅 歩8分
仮）墨田区立花4丁目計画,東京都墨田区立花４,2LDK,11.5万円,"新築
3階建",ＪＲ総武線/平井駅 歩9分
東急大井町線 旗の台駅 2階建 新築,東京都品川区旗の台４,2DK,16.5万円,"新築
2階建",東急大井町線/旗の台駅 歩4分
東京メトロ千代田線 綾瀬駅 3階建 築10年,東京都足立区東綾瀬１,2DK,12.7万円,"築10年
3階建",東京メトロ千代田線/綾瀬駅 歩9分
東京メトロ有楽町線 月島駅 8階建 築13年,東京都中央区佃３,2LDK,15.5万円,"築13年
8階建",東京メトロ有楽町線/月島駅 歩3分
（シニア限定）ヘーベルヴィレッジお花茶屋～たからまちＶｉｌｌａｇｅ～,東京都葛飾区宝町２,2LDK,15.6万円,"新築
3階建",京成本線/堀切菖蒲園駅 歩8分
Ｐｅａｒｌ　ｖｉｌｌａｇｅ　Ａ,東京都中野区南台３,2DK,14.7万円,"築9年
3階建",東京メトロ丸ノ内線/方南町駅 歩9分
F・D　VILLE,東京都荒川区東日暮里６,2LDK,19.7万円,"築15年
14階建",ＪＲ山手線/日暮里駅 歩10分
LEGALAND都立大学ANNEX,東京都目黒区中根２,2DK,18.5万円,"築4年
地下1地上5階建",東急東横線/都立大学駅 歩7分
オークスクエア新川,東京都中央区新川２,2LDK,17.5万円,"築9年
7階建",ＪＲ京葉線/八丁堀駅 歩4分
都営三田線 西巣鴨駅 3階建 新築,東京都豊島区西巣鴨２,2LDK,17.9万円,"新築
3階建",都営三田線/西巣鴨駅 歩7分
メゾン・ド・アンジュ,東京都荒川区南千住７,2LDK,17万円,"築1年
3階建",ＪＲ常磐線/南千住駅 歩5分
LEGALAND都立大学ANNEX,東京都目黒区中根２,2DK,18.5万円,"築4年
地下1地上5階建",東急東横線/都立大学駅 歩7分
ＳＹＮＥＸ　ＵＥＮＯ－ＭＡＴＳＵＧＡＹＡ,東京都台東区松が谷３,2LDK,19万円,"築8年
13階建",ＪＲ山手線/上野駅 歩12分
東京メトロ日比谷線 三ノ輪駅 12階建 新築,東京都台東区日本堤２,2LDK,18.8万円,"新築
12階建",東京メトロ日比谷線/三ノ輪駅 歩6分
（仮）西大井５丁目長屋　新築計画,東京都品川区西大井５,2DK,14万円,"新築
3階建",湘南新宿ライン宇須/西大井駅 歩7分
グランドパーク江北,東京都足立区西新井本町２,2LDK,14万円,"築8年
11階建",日暮里・舎人ライナー/江北駅 歩7分
オークプレイス月島,東京都中央区月島３,2LDK,20万円,"築10年
10階建",都営大江戸線/勝どき駅 歩5分
シオンコート,東京都練馬区桜台２,2LDK,11.5万円,"築13年
3階建",東京メトロ有楽町線/氷川台駅 歩11分
ＪＲ山手線 鶯谷駅 10階建 築3年,東京都荒川区西日暮里４,2LDK,19万円,"築3年
10階建",ＪＲ山手線/鶯谷駅 歩6分
S-RESIDENCE東日暮里,東京都荒川区西日暮里４,2LDK,19万円,"築3年
10階建",ＪＲ山手線/鶯谷駅 歩6分
西武池袋線 中村橋駅 3階建 築8年,東京都練馬区貫井２,2DK,12万円,"築8年
3階建",西武池袋線/中村橋駅 歩8分
アイル両国弐番館,東京都墨田区緑３,2LDK,16.8万円,"築11年
9階建",都営新宿線/菊川駅 歩6分
ステラ美光,東京都練馬区南大泉３,2LDK,13.9万円,"築3年
3階建",西武池袋線/保谷駅 歩7分
葛飾区高砂３丁目楽器可(防音・24時間演奏・グランドピアノ・弦管楽器・,東京都葛飾区高砂３,2LDK,18.8万円,"築5年
2階建",京成本線/京成高砂駅 歩6分
都営三田線 高島平駅 2階建 築10年,東京都板橋区高島平２,2DK,11万円,"築10年
2階建",都営三田線/高島平駅 歩9分
都営新宿線 住吉駅 12階建 築3年,東京都江東区千田,2LDK,16.2万円,"築3年
12階建",都営新宿線/住吉駅 歩10分
ａｐａｒｔｍｅｎｔ　ＫＵＲＯ　白金高輪,東京都港区白金３,2DK,17.6万円,"築9年
4階建",東京メトロ南北線/白金高輪駅 歩8分
サンクレイドル柴又駅前,東京都葛飾区柴又４,2LDK,14万円,"築3年
9階建",京成金町線/柴又駅 歩2分
都営浅草線 浅草橋駅 12階建 築2年,東京都台東区浅草橋３,2LDK,19.4万円,"築2年
12階建",都営浅草線/浅草橋駅 歩5分
ＪＲ総武線 錦糸町駅 14階建 築12年,東京都墨田区江東橋２,2LDK,17万円,"築12年
14階建",ＪＲ総武線/錦糸町駅 歩8分
京王新線 初台駅 3階建 築5年,東京都渋谷区本町２,2DK,15.4万円,"築5年
3階建",京王新線/初台駅 歩9分
ルミドゥース目黒,東京都目黒区下目黒３,2DK,18.8万円,"新築
3階建",東急目黒線/不動前駅 歩8分
東京メトロ日比谷線 入谷駅 14階建 築3年,東京都台東区千束２,2LDK,20万円,"築3年
14階建",東京メトロ日比谷線/入谷駅 歩8分
Ｍａｉｓｏｎ　Ｈａｙａｎｏ　B,東京都文京区本駒込５,2LDK,18.8万円,"新築
3階建",ＪＲ山手線/駒込駅 歩5分
ルカナル門前仲町,東京都江東区富岡２,2LDK,17.9万円,"築4年
10階建",都営大江戸線/門前仲町駅 歩7分
パークアクシス錦糸町ウエスト,東京都墨田区緑４,2DK,19.2万円,"築5年
9階建",都営新宿線/菊川駅 歩9分
東京メトロ日比谷線 三ノ輪駅 10階建 新築,東京都荒川区東日暮里２,2LDK,19.8万円,"新築
10階建",東京メトロ日比谷線/三ノ輪駅 歩8分
日暮里・舎人ライナー 谷在家駅 3階建 築1年,東京都足立区谷在家３,2LDK,12.3万円,"築1年
3階建",日暮里・舎人ライナー/谷在家駅 歩4分
都営浅草線 蔵前駅 14階建 新築,東京都台東区蔵前３,2LDK,19.2万円,"新築
14階建",都営浅草線/蔵前駅 歩1分
小沼ビル,東京都杉並区阿佐谷北２,2DK,15万円,"築11年
3階建",ＪＲ中央線/阿佐ケ谷駅 歩3分
ＪＲ中央線 東中野駅 3階建 築8年,東京都新宿区北新宿３,2DK,9.8万円,"築8年
3階建",ＪＲ中央線/東中野駅 歩6分
都営大江戸線 両国駅 10階建 築10年,東京都墨田区石原３,2LDK,19万円,"築10年
10階建",都営大江戸線/両国駅 歩10分
コーラル B,東京都練馬区南田中５,2DK,12.6万円,"築8年
2階建",西武池袋線/石神井公園駅 歩9分
西武池袋線 石神井公園駅 2階建 築8年,東京都練馬区南田中５,2DK,12.6万円,"築8年
2階建",西武池袋線/石神井公園駅 歩9分
グラン　ヴォワル,東京都葛飾区高砂７,2LDK,13万円,"新築
2階建",京成本線/京成高砂駅 歩8分
都営三田線 志村坂上駅 7階建 新築,東京都板橋区小豆沢２,2DK,12.5万円,"新築
7階建",都営三田線/志村坂上駅 歩9分
西武池袋線 石神井公園駅 2階建 築8年,東京都練馬区南田中５,2DK,12.6万円,"築8年
2階建",西武池袋線/石神井公園駅 歩9分
ＪＲ中央線 荻窪駅 4階建 築12年,東京都杉並区荻窪４,2DK,16.6万円,"築12年
4階建",ＪＲ中央線/荻窪駅 歩9分
アーバンパーク西巣鴨WEST,東京都北区滝野川３,2LDK,18.4万円,"築4年
16階建",都営三田線/西巣鴨駅 歩6分
ＪＲ総武線 亀戸駅 7階建 築10年,東京都江東区亀戸１,2LDK,17.5万円,"築10年
7階建",ＪＲ総武線/亀戸駅 歩8分
都営浅草線 蔵前駅 12階建 築2年,東京都台東区三筋１,2LDK,19.4万円,"築2年
12階建",都営浅草線/蔵前駅 歩4分
Leon,東京都墨田区東向島４,2LDK,12.8万円,"新築
3階建",東武伊勢崎線/東向島駅 歩7分
東武伊勢崎線 梅島駅 3階建 築13年,東京都足立区梅島３,2LDK,14万円,"築13年
3階建",東武伊勢崎線/梅島駅 歩4分
グランシャリオ,東京都葛飾区亀有２,2LDK,15.2万円,"築13年
10階建",ＪＲ常磐線/亀有駅 歩6分
アールジーエフパークサイド,東京都足立区扇１,2LDK,13.7万円,"新築
3階建",日暮里・舎人ライナー/扇大橋駅 歩4分
